"name","id","teams","starts","benched","drafted_round","sleeper_id"
"Nick Chubb",3128720,"Big Nick Energy",10,4,1,"4988"
"Patrick Mahomes",3139477,"Big Nick Energy",13,1,2,"4046"
"Robert Woods",15880,"Big Nick Energy",7,2,3,"1352"
"DK Metcalf",4047650,"Big Nick Energy,La La Land",13,1,4,"5846"
"Keenan Allen",15818,"Big Nick Energy,La La Land",11,3,5,"1479"
"T.J. Hockenson",4036133,"Big Nick Energy",12,2,6,"5844"
"Ronald Jones II",3912550,"Big Nick Energy,The Tiger  King",2,5,0,"0000"
"Michael Carter",4240657,"Big Nick Energy,fore PLAY",4,10,8,"7607"
"Deebo Samuel",3126486,"Big Nick Energy",10,4,9,"5872"
"Antonio Brown",13934,"Big Nick Energy",4,9,10,"536"
"Michael Pittman Jr.",4035687,"Big Nick Energy",6,8,0,"0000"
"Alexander Mattison",4048244,"Big Nick Energy",3,11,12,"5987"
"Marquez Callaway",4035170,"Big Nick Energy,Game of Jones",1,8,13,"6989"
"Ravens D/ST",-16033,"Big Nick Energy,Freiermuth Gong Show,I Kelce Clearly Now,La La Land",6,0,0,"0000"
"Tony Jones Jr.",4046676,"Big Nick Energy",1,4,0,"0000"
"Tevin Coleman",2979477,"Big Nick Energy,Hurts So Good",1,2,0,"0000"
"Davante Adams",16800,"St Charles 69ers",12,2,1,"2133"
"DeAndre Hopkins",15795,"St Charles 69ers",10,4,2,"1426"
"Miles Sanders",4045163,"St Charles 69ers",9,5,3,"6151"
"Mark Andrews",3116365,"St Charles 69ers",13,1,4,"5012"
"Kareem Hunt",3059915,"St Charles 69ers",6,8,5,"4098"
"Aaron Rodgers",8439,"St Charles 69ers",12,2,6,"96"
"Raheem Mostert",2576414,"St Charles 69ers",1,0,7,"2749"
"AJ Dillon",4239934,"St Charles 69ers",7,7,0,"0000"
"Rondale Moore",4372485,"St Charles 69ers",10,4,9,"7601"
"Justin Fields",4362887,"St Charles 69ers",1,11,10,"7591"
"William Fuller V",3052876,"St Charles 69ers",1,13,0,"0000"
"Michael Gallup",4036348,"St Charles 69ers,Big Nick Energy,La La Land",2,7,12,"5038"
"Marvin Jones Jr.",15072,"St Charles 69ers",12,2,0,"0000"
"Ty'Son Williams",3895827,"St Charles 69ers",3,11,14,"7098"
"Commanders D/ST",-16028,"St Charles 69ers",12,2,0,"0000"
"Tua Tagovailoa",4241479,"St Charles 69ers,Big Nick Energy",0,4,16,"6768"
"Dalvin Cook",3116593,"fore PLAY",9,5,1,"4029"
"Saquon Barkley",3929630,"fore PLAY",8,6,2,"4866"
"Amari Cooper",2976499,"fore PLAY",11,3,3,"2309"
"Kyle Pitts",4360248,"fore PLAY",13,1,4,"7553"
"Stefon Diggs",2976212,"fore PLAY",13,1,5,"2449"
"Darrell Henderson Jr.",4039359,"fore PLAY",10,4,0,"0000"
"Kenny Golladay",2974858,"fore PLAY",3,8,7,"4131"
"JuJu Smith-Schuster",3120348,"fore PLAY",4,1,8,"4040"
"Zack Moss",4035676,"fore PLAY",5,7,9,"6845"
"Matthew Stafford",12483,"fore PLAY",13,1,10,"421"
"Darnell Mooney",4040655,"fore PLAY,The Tiger  King,I Kelce Clearly Now",6,6,11,"7090"
"Tyler Higbee",2573401,"fore PLAY,La La Land",6,7,12,"3271"
"Henry Ruggs III",4241475,"fore PLAY",1,7,0,"0000"
"Latavius Murray",15920,"fore PLAY",1,8,14,"1476"
"Patriots D/ST",-16017,"fore PLAY",7,7,0,"0000"
"Jameis Winston",2969939,"fore PLAY",0,3,16,"2306"
"Najee Harris",4241457,"Golaso King Seabass",13,1,1,"7528"
"Darren Waller",2576925,"Golaso King Seabass",10,4,2,"2505"
"Chris Godwin",3116165,"Golaso King Seabass",13,1,3,"4037"
"Cooper Kupp",2977187,"Golaso King Seabass",13,1,4,"4039"
"Mike Davis",3025433,"Golaso King Seabass",3,9,5,"2431"
"David Montgomery",4035538,"Golaso King Seabass",8,6,6,"5892"
"Kyler Murray",3917315,"Golaso King Seabass",8,6,7,"5849"
"Odell Beckham Jr.",16733,"Golaso King Seabass,The Tiger  King",4,10,0,"0000"
"DeVonta Smith",4241478,"Golaso King Seabass,The Tiger  King",6,8,9,"7525"
"Leonard Fournette",3115364,"Golaso King Seabass",11,3,10,"3969"
"Dallas Goedert",3121023,"Golaso King Seabass,Hurts So Good",4,10,11,"5022"
"Mike Williams",3045138,"Golaso King Seabass",11,3,12,"4068"
"Russell Gage",3115378,"Golaso King Seabass,Game of Jones",1,2,13,"5110"
"Tom Brady",2330,"Golaso King Seabass",5,9,16,"167"
"Panthers D/ST",-16029,"Golaso King Seabass,Game of Jones",10,3,0,"0000"
"Tyrell Williams",2587819,"Golaso King Seabass",0,1,0,"0000"
"Christian McCaffrey",3117251,"Hurts So Good",7,7,1,"4034"
"Allen Robinson II",16799,"Hurts So Good,The Tiger  King",5,6,0,"0000"
"Russell Wilson",14881,"Hurts So Good,The Tiger  King",7,6,3,"1234"
"Rob Gronkowski",13229,"Hurts So Good",8,6,4,"515"
"Derrick Henry",3043078,"Hurts So Good,I Kelce Clearly Now",8,6,5,"3198"
"Chase Claypool",4046692,"Hurts So Good",11,3,6,"6886"
"Chase Edmonds",3119195,"Hurts So Good,Golaso King Seabass",9,2,7,"5000"
"Jalen Hurts",4040715,"Hurts So Good",6,8,8,"6904"
"Steelers D/ST",-16023,"Hurts So Good,La La Land",8,0,0,"0000"
"Brandin Cooks",16731,"Hurts So Good",10,4,10,"2197"
"Jamaal Williams",2980453,"Hurts So Good,Game of Jones",1,12,11,"4149"
"Mecole Hardman",4035004,"Hurts So Good,fore PLAY,The Tiger  King",1,6,12,"5917"
"Marquise Brown",4241372,"Hurts So Good",9,5,13,"5848"
"Mike Gesicki",3116164,"Hurts So Good",6,8,14,"4993"
"Rhamondre Stevenson",4569173,"Hurts So Good,La La Land",2,8,15,"7611"
"Justin Jefferson",4262921,"Hurts So Good",13,1,16,"6794"
"Ezekiel Elliott",3051392,"Freiermuth Gong Show",13,1,1,"3164"
"Chris Carson",3919596,"Freiermuth Gong Show",4,6,2,"4273"
"Terry McLaurin",3121422,"Freiermuth Gong Show",13,1,3,"5927"
"Dak Prescott",2577417,"Freiermuth Gong Show",12,2,4,"3294"
"Tyler Lockett",2577327,"Freiermuth Gong Show",11,3,5,"2374"
"D'Andre Swift",4259545,"Freiermuth Gong Show",10,4,6,"6790"
"Tee Higgins",4239993,"Freiermuth Gong Show",8,6,7,"6801"
"Courtland Sutton",3128429,"Freiermuth Gong Show",5,7,8,"5045"
"Robby Anderson",2574808,"Freiermuth Gong Show",1,7,9,"3423"
"Nyheim Hines",3916430,"Freiermuth Gong Show,I Kelce Clearly Now",0,12,10,"5347"
"Corey Davis",3042778,"Freiermuth Gong Show",1,12,11,"4036"
"Robert Tonyan",2975674,"Freiermuth Gong Show,Golaso King Seabass",5,1,12,"4602"
"Trevor Lawrence",4360310,"Freiermuth Gong Show",0,4,13,"7523"
"Rams D/ST",-16014,"Freiermuth Gong Show,The Tiger  King",8,4,0,"0000"
"James Robinson",4052042,"Freiermuth Gong Show",10,4,16,"6955"
"Devonta Freeman",16944,"Freiermuth Gong Show",2,7,0,"0000"
"Travis Kelce",15847,"I Kelce Clearly Now",13,1,1,"1466"
"Jonathan Taylor",4242335,"I Kelce Clearly Now",13,1,2,"6813"
"DJ Moore",3915416,"I Kelce Clearly Now",13,1,0,"0000"
"Julio Jones",13982,"I Kelce Clearly Now,Big Nick Energy",5,6,4,"947"
"Javonte Williams",4361579,"I Kelce Clearly Now",9,5,5,"7588"
"Melvin Gordon III",2576434,"I Kelce Clearly Now",11,3,0,"0000"
"Tyler Boyd",3045144,"I Kelce Clearly Now,fore PLAY,The Tiger  King,Game of Jones",8,2,8,"3225"
"James Conner",3045147,"I Kelce Clearly Now",7,7,9,"4137"
"Josh Allen",3918298,"I Kelce Clearly Now",13,1,10,"4984"
"Laviska Shenault Jr.",4243160,"I Kelce Clearly Now,Game of Jones,La La Land",3,5,0,"0000"
"Sony Michel",3128721,"I Kelce Clearly Now,La La Land",2,11,12,"4962"
"Phillip Lindsay",3052117,"I Kelce Clearly Now",0,2,13,"5170"
"James White",16913,"I Kelce Clearly Now",0,3,14,"1848"
"Broncos D/ST",-16007,"I Kelce Clearly Now,St Charles 69ers,La La Land",7,2,0,"0000"
"Justin Jackson",3116136,"I Kelce Clearly Now",0,1,0,"0000"
"Jonnu Smith",3054212,"I Kelce Clearly Now",0,1,15,"4144"
"Tyreek Hill",3116406,"La La Land,Big Nick Energy",13,1,1,"3321"
"Joe Mixon",3116385,"La La Land",12,2,2,"4018"
"Mike Evans",16737,"La La Land",12,2,3,"2216"
"Calvin Ridley",3925357,"La La Land",5,9,4,"4981"
"Adam Thielen",16460,"La La Land,I Kelce Clearly Now",12,2,5,"1689"
"Damien Harris",3925347,"La La Land,Game of Jones",8,5,6,"5890"
"Ja'Marr Chase",4362628,"La La Land",10,4,7,"7564"
"Logan Thomas",16813,"La La Land,I Kelce Clearly Now",6,1,8,"2251"
"Devin Singletary",4040761,"La La Land,St Charles 69ers",4,6,9,"6130"
"Tony Pollard",3916148,"La La Land",4,10,10,"5967"
"Lamar Jackson",3916387,"La La Land",12,2,11,"4881"
"Damien Williams",17359,"La La Land",1,5,12,"1833"
"DeVante Parker",2576623,"La La Land,fore PLAY,Golaso King Seabass",0,7,13,"2319"
"Jakobi Meyers",3916433,"La La Land,fore PLAY",0,10,14,"5947"
"Dolphins D/ST",-16015,"La La Land,Big Nick Energy",3,2,0,"0000"
"Browns D/ST",-16005,"La La Land,Freiermuth Gong Show",3,2,0,"0000"
"Aaron Jones",3042519,"Game of Jones",12,2,1,"4199"
"Clyde Edwards-Helaire",4242214,"Game of Jones,The Tiger  King",7,6,2,"6820"
"Josh Jacobs",4047365,"Game of Jones",10,4,3,"5850"
"A.J. Brown",4047646,"Game of Jones",10,4,4,"5859"
"Diontae Johnson",3932905,"Game of Jones",12,2,5,"5937"
"Austin Ekeler",3068267,"Game of Jones",13,1,6,"4663"
"Justin Herbert",4038941,"Game of Jones",13,1,7,"6797"
"Michael Thomas",2976316,"Game of Jones",0,14,8,"3199"
"Noah Fant",4036131,"Game of Jones",7,6,9,"5857"
"DJ Chark Jr.",3115394,"Game of Jones",2,2,0,"0000"
"Jarvis Landry",16790,"Game of Jones,I Kelce Clearly Now,The Tiger  King",3,9,11,"1825"
"Curtis Samuel",3121427,"Game of Jones",0,1,12,"4082"
"David Johnson",2508176,"Game of Jones,The Tiger  King,fore PLAY",1,4,13,"2391"
"Elijah Moore",4372414,"Game of Jones,Freiermuth Gong Show",0,7,14,"7596"
"Buccaneers D/ST",-16027,"Game of Jones,Big Nick Energy,The Tiger  King",7,6,0,"0000"
"Baker Mayfield",3052587,"Game of Jones",0,2,16,"4892"
"Alvin Kamara",3054850,"The Tiger  King",9,5,1,"4035"
"George Kittle",3040151,"The Tiger  King",10,4,2,"4217"
"CeeDee Lamb",4241389,"The Tiger  King",12,2,3,"6786"
"Myles Gaskin",3886818,"The Tiger  King",11,3,4,"5980"
"Brandon Aiyuk",4360438,"The Tiger  King,Freiermuth Gong Show",6,7,5,"6803"
"Jerry Jeudy",4241463,"The Tiger  King,Golaso King Seabass",5,6,6,"6783"
"Trey Sermon",4241401,"The Tiger  King",1,8,7,"7593"
"Antonio Gibson",4360294,"The Tiger  King",11,3,8,"6945"
"Kenyan Drake",2979843,"The Tiger  King,Golaso King Seabass",2,7,9,"3242"
"Ryan Tannehill",14876,"The Tiger  King,fore PLAY",3,6,10,"1049"
"Jaylen Waddle",4372016,"The Tiger  King",12,2,11,"7526"
"Joe Burrow",3915511,"The Tiger  King",9,5,12,"6770"
"Chuba Hubbard",4241416,"The Tiger  King,Hurts So Good,fore PLAY",6,5,13,"7594"
"49ers D/ST",-16025,"The Tiger  King,Golaso King Seabass",4,5,0,"0000"
"Kenneth Gainwell",4371733,"The Tiger  King",1,8,16,"7567"
"Colts D/ST",-16011,"The Tiger  King,I Kelce Clearly Now,Golaso King Seabass,La La Land",3,4,0,"0000"
"Saints D/ST",-16018,"Big Nick Energy,Game of Jones,Golaso King Seabass",5,5,0,"0000"
"Cardinals D/ST",-16022,"Big Nick Energy,La La Land,Hurts So Good",7,3,0,"0000"
"Carlos Hyde",16777,"St Charles 69ers",0,6,0,"0000"
"Mark Ingram II",13981,"Golaso King Seabass,Big Nick Energy",3,4,0,"0000"
"Elijah Mitchell",4241555,"I Kelce Clearly Now,La La Land",6,7,0,"0000"
"Jalen Reagor",4241802,"I Kelce Clearly Now",0,3,0,"0000"
"Bills D/ST",-16002,"La La Land,I Kelce Clearly Now",8,5,0,"0000"
"Jared Cook",12537,"Game of Jones,Freiermuth Gong Show,I Kelce Clearly Now",1,2,0,"0000"
"Zach Pascal",2978109,"The Tiger  King,fore PLAY",0,2,0,"0000"
"Cordarrelle Patterson",15807,"Big Nick Energy",9,3,0,"0000"
"Bengals D/ST",-16004,"Big Nick Energy",3,1,0,"0000"
"Corey Clement",3045260,"St Charles 69ers",1,1,0,"0000"
"Sterling Shepard",2976592,"Golaso King Seabass,fore PLAY",0,6,0,"0000"
"Daniel Jones",3917792,"I Kelce Clearly Now,Freiermuth Gong Show",1,1,0,"0000"
"Jacques Patrick",3693033,"La La Land",0,1,0,"0000"
"Derek Carr",16757,"Game of Jones,La La Land",2,3,0,"0000"
"Raiders D/ST",-16013,"Game of Jones,St Charles 69ers",2,0,0,"0000"
"Peyton Barber",3051902,"Game of Jones",1,1,0,"0000"
"Teddy Bridgewater",16728,"The Tiger  King",1,0,0,"0000"
"Titans D/ST",-16010,"The Tiger  King,Golaso King Seabass",7,1,0,"0000"
"Cowboys D/ST",-16006,"fore PLAY",7,4,0,"0000"
"Chargers D/ST",-16024,"Golaso King Seabass,I Kelce Clearly Now",1,2,0,"0000"
"Bears D/ST",-16003,"Hurts So Good,Freiermuth Gong Show",3,1,0,"0000"
"Lions D/ST",-16008,"Freiermuth Gong Show,The Tiger  King",2,0,0,"0000"
"Cole Beasley",15349,"I Kelce Clearly Now,Golaso King Seabass",3,6,0,"0000"
"Christian Kirk",3895856,"I Kelce Clearly Now,fore PLAY",3,6,0,"0000"
"J.D. McKissic",2572861,"La La Land,Big Nick Energy",1,7,0,"0000"
"Tyler Conklin",3915486,"La La Land,The Tiger  King,St Charles 69ers,Big Nick Energy",4,1,0,"0000"
"Packers D/ST",-16009,"La La Land,Freiermuth Gong Show,Big Nick Energy",2,1,0,"0000"
"Emmanuel Sanders",13295,"Game of Jones,Big Nick Energy,The Tiger  King,I Kelce Clearly Now",5,6,0,"0000"
"Hunter Henry",3046439,"The Tiger  King,Freiermuth Gong Show",1,4,0,"0000"
"Falcons D/ST",-16001,"Big Nick Energy,Hurts So Good",2,1,0,"0000"
"Hunter Renfrow",3135321,"Big Nick Energy,Game of Jones",6,3,0,"0000"
"A.J. Green",13983,"Golaso King Seabass,Hurts So Good",2,6,0,"0000"
"Texans D/ST",-16034,"Hurts So Good,Big Nick Energy",2,1,0,"0000"
"Jeremy McNichols",3127586,"Freiermuth Gong Show",1,4,0,"0000"
"Jamison Crowder",2576716,"I Kelce Clearly Now,Big Nick Energy",0,2,0,"0000"
"Alex Collins",3046409,"La La Land",2,6,0,"0000"
"Dalton Schultz",3117256,"La La Land,Game of Jones",5,5,0,"0000"
"Dawson Knox",3930086,"Game of Jones",4,6,0,"0000"
"Samaje Perine",3116389,"Game of Jones",0,2,0,"0000"
"Josh Gordon",15705,"The Tiger  King",0,3,0,"0000"
"Darrel Williams",3115375,"Big Nick Energy",3,6,15,"5549"
"Devontae Booker",3122866,"fore PLAY",4,5,0,"0000"
"Vikings D/ST",-16016,"Hurts So Good,Game of Jones",2,1,0,"0000"
"Ricky Seals-Jones",3051806,"Freiermuth Gong Show",2,1,0,"0000"
"Kadarius Toney",4240600,"I Kelce Clearly Now",1,7,0,"0000"
"Sam Darnold",3912547,"I Kelce Clearly Now,Freiermuth Gong Show",1,1,0,"0000"
"Khalil Herbert",4035886,"La La Land",3,1,0,"0000"
"Zach Ertz",15835,"The Tiger  King,Golaso King Seabass",4,5,0,"0000"
"Tim Patrick",3134353,"The Tiger  King",2,0,0,"0000"
"Jerick McKinnon",16782,"The Tiger  King",0,1,0,"0000"
"Rashaad Penny",3139925,"Big Nick Energy",0,3,14,"4985"
"D'Ernest Johnson",3139602,"St Charles 69ers",5,3,0,"0000"
"O.J. Howard",3043080,"Golaso King Seabass",1,0,0,"0000"
"Jets D/ST",-16020,"Hurts So Good",1,1,0,"0000"
"Matt Ryan",11237,"I Kelce Clearly Now",1,0,0,"0000"
"Demetric Felton",4035826,"I Kelce Clearly Now",0,1,0,"0000"
"Deshaun Watson",3122840,"Freiermuth Gong Show",0,1,0,"0000"
"Boston Scott",3051439,"I Kelce Clearly Now,La La Land",1,2,0,"0000"
"Kirk Cousins",14880,"La La Land,Golaso King Seabass,Big Nick Energy,St Charles 69ers",4,1,0,"0000"
"C.J. Uzomah",2574576,"The Tiger  King",1,0,0,"0000"
"Jeff Wilson Jr.",3122976,"Big Nick Energy,La La Land",2,3,0,"0000"
"Chiefs D/ST",-16012,"Golaso King Seabass",3,0,0,"0000"
"Ty Johnson",3915411,"Freiermuth Gong Show,Hurts So Good",4,2,0,"0000"
"Van Jefferson",3930066,"Freiermuth Gong Show,Big Nick Energy,fore PLAY",3,1,0,"0000"
"Pat Freiermuth",4361411,"Freiermuth Gong Show",6,0,0,"0000"
"Derrick Gore",3925346,"I Kelce Clearly Now",0,1,0,"0000"
"Bryan Edwards",4038818,"I Kelce Clearly Now",0,1,16,"6870"
"Adrian Peterson",10452,"La La Land,Hurts So Good",1,2,0,"0000"
"Rashod Bateman",4360939,"The Tiger  King",1,5,0,"0000"
"Brandon Bolden",15478,"Golaso King Seabass",0,2,0,"0000"
"Le'Veon Bell",15825,"Hurts So Good",0,1,0,"0000"
"Donovan Peoples-Jones",4258195,"Hurts So Good",0,1,0,"0000"
"Jordan Howard",3060022,"I Kelce Clearly Now",0,1,0,"0000"
"Eno Benjamin",4242873,"I Kelce Clearly Now",0,5,0,"0000"
"Dan Arnold",4212989,"La La Land",2,0,0,"0000"
"Jalen Richard",2972091,"Game of Jones",1,0,0,"0000"
"Carson Wentz",2573079,"The Tiger  King",1,0,0,"0000"
"Randall Cobb",14053,"Hurts So Good",0,1,0,"0000"
"Eagles D/ST",-16021,"Freiermuth Gong Show",3,1,0,"0000"
"D'Onta Foreman",3125116,"I Kelce Clearly Now",2,2,0,"0000"
"Wayne Gallman",3045127,"La La Land",0,1,0,"0000"
"Cedrick Wilson",4036335,"fore PLAY",1,0,0,"0000"
"Dontrell Hilliard",3126246,"Hurts So Good",1,2,0,"0000"
"Cam Newton",13994,"Freiermuth Gong Show",0,1,0,"0000"
"Matt Breida",3049916,"Big Nick Energy",0,1,0,"0000"
"Foster Moreau",3843945,"Big Nick Energy",0,1,0,"0000"
"Mike Boone",3139033,"St Charles 69ers",1,1,0,"0000"
"Matthew Slater",11387,"St Charles 69ers",1,1,0,"0000"
"Kendrick Bourne",3045523,"fore PLAY",1,0,0,"0000"
"Rex Burkhead",15971,"fore PLAY",1,1,0,"0000"
"Gardner Minshew",4038524,"Hurts So Good",1,0,0,"0000"
"Taysom Hill",2468609,"Freiermuth Gong Show",0,2,0,"0000"
"Cam Akers",4240021,"Freiermuth Gong Show",0,2,0,"0000"
"J.K. Dobbins",4241985,"Freiermuth Gong Show",0,2,0,"0000"
"Marquez Valdes-Scantling",3051738,"Big Nick Energy",1,0,0,"0000"
"Gerald Everett",3918639,"Big Nick Energy",1,0,0,"0000"
"Travis Etienne Jr.",4239996,"fore PLAY",0,1,0,"0000"
"Taylor Heinicke",2565969,"Hurts So Good",1,0,0,"0000"
"Seahawks D/ST",-16026,"Freiermuth Gong Show",1,0,0,"0000"
"JaMycal Hasty",3928925,"La La Land",0,1,0,"0000"
"K.J. Osborn",3916566,"Game of Jones",0,1,0,"0000"
"Godwin Igwebuike",3045238,"Game of Jones",0,1,0,"0000"